"dolphin_id","birthdate","tsd","sex","proportion_groups","proportion_social","avg_degree","true_degree","infected_degree","total_surveys","proportion_infected"
"ID_1",2011-11-20,1,"FEMALE",NA,NA,21.499,38,2,14,0.0526315789473684
"ID_1036",1988-10-01,0,"MALE",0.337243401759531,0.0123203285420945,11.101,16,0,9,0
"ID_1038",1996-11-01,0,NA,NA,NA,20.462,36,0,12,0
"ID_104",2002-12-01,0,NA,NA,NA,4.384,5,0,6,0
"ID_105",2014-03-01,0,NA,NA,NA,17,17,0,5,0
"ID_1053",1990-10-01,0,"FEMALE",0.804500184433788,0.0417930569598921,23.188,62,0,25,0
"ID_1057",2003-11-01,0,"MALE",NA,NA,4,4,0,5,0
"ID_1074",2005-11-01,0,"FEMALE",0.408839779005525,0.0111111111111111,22.579,27,0,8,0
"ID_1078",1997-11-01,0,"FEMALE",NA,NA,15.482,36,0,18,0
"ID_11",1996-10-06,0,NA,NA,NA,25.696,69,0,19,0
"ID_1100",2002-10-01,0,"MALE",0.415026833631485,0.090017825311943,9.772,21,1,12,0.0476190476190476
"ID_1103",1995-11-23,0,"MALE",0.477825464949928,0.0114285714285714,16.35,25,0,9,0
"ID_1115",1994-11-20,0,"MALE",0.648021108179419,0.0945337620578778,16.627,27,0,19,0
"ID_1126",2003-12-01,0,"FEMALE",NA,NA,23.057,48,0,14,0
"ID_1135",2005-11-01,1,"MALE",NA,NA,21.753,23,1,6,0.0434782608695652
"ID_1141",2011-10-26,1,"MALE",0.93859649122807,0.0729881472239551,19.275,28,1,12,0.0357142857142857
"ID_116",2000-10-28,0,NA,NA,NA,15.907,26,0,10,0
"ID_1160",2001-05-15,0,NA,NA,NA,16.469,31,0,13,0
"ID_1166",2004-11-20,0,"MALE",NA,NA,22.772,30,0,7,0
"ID_1182",1991-01-01,0,"FEMALE",0.0597222222222222,0.006765899864682,8.121,29,0,31,0
"ID_1190",1996-10-18,0,NA,NA,NA,16.027,22,1,7,0.0454545454545455
"ID_1200",2011-10-20,0,NA,NA,NA,18.307,24,1,8,0.0416666666666667
"ID_1210",2002-11-01,0,"MALE",NA,NA,18.393,22,1,6,0.0454545454545455
"ID_1243",2007-11-20,0,NA,0.508196721311475,0,2,2,0,5,0
"ID_1253",1989-12-01,0,"MALE",0.894345238095238,0.0867709815078236,21.91,32,0,8,0
"ID_1258",1998-11-01,0,"FEMALE",0.0476190476190476,0,6.817,14,0,11,0
"ID_1260",1990-12-01,0,"FEMALE",0.699746835443038,0.0470701248799232,23.827,46,0,13,0
"ID_1262",2000-11-01,0,NA,NA,NA,14.114,22,0,11,0
"ID_1263",2002-11-01,0,"FEMALE",NA,NA,1.468,2,0,10,0
"ID_1270",1990-11-01,0,NA,NA,NA,16.951,21,0,10,0
"ID_1276",1990-10-01,0,NA,NA,NA,10,10,0,5,0
"ID_1279",2002-10-20,0,NA,NA,NA,26.257,30,1,7,0.0333333333333333
"ID_1286",1996-10-01,0,"MALE",NA,NA,23.771,64,0,23,0
"ID_1288",2003-11-15,0,"MALE",0.584956346541303,0.0641891891891892,21.937,53,1,27,0.0188679245283019
"ID_1298",2014-04-01,0,NA,NA,NA,17.444,33,1,10,0.0303030303030303
"ID_1322",2015-03-01,0,NA,NA,NA,58.302,120,0,14,0
"ID_1323",1992-11-01,0,NA,NA,NA,26.329,38,0,8,0
"ID_1332",2012-11-01,0,NA,NA,NA,22.87,33,2,9,0.0606060606060606
"ID_1364",1988-10-15,0,"MALE",0.471569370735406,0.0490196078431373,18.408,43,1,17,0.0232558139534884
"ID_1371",2002-12-08,0,"FEMALE",0.182729805013928,0.0300687285223368,12.381,39,0,47,0
"ID_1377",2010-01-01,0,"FEMALE",NA,NA,2,2,0,6,0
"ID_1381",1997-11-01,0,"FEMALE",NA,NA,5.258,7,0,8,0
"ID_1399",2012-11-10,1,"FEMALE",0.0125223613595707,0.0254372019077901,21.518,39,5,18,0.128205128205128
"ID_1400",2003-11-19,0,"FEMALE",0.398279041180086,0.0653654108034498,14.393,44,1,39,0.0227272727272727
"ID_1405",1997-12-01,0,NA,NA,NA,19.006,37,0,18,0
"ID_1415",2014-01-01,0,"MALE",NA,NA,12.259,16,1,7,0.0625
"ID_1434",1997-12-13,0,"FEMALE",0.857539958304378,0.142660234321158,21.961,65,1,82,0.0153846153846154
"ID_1442",2003-11-18,0,NA,0.054249547920434,0.0018348623853211,2.437,6,0,17,0
"ID_1451",1998-11-01,0,NA,NA,NA,12.886,19,0,8,0
"ID_159",1990-10-01,0,"MALE",0.721915285451197,0.0938072554049102,23.004,58,0,29,0
"ID_174",1997-11-01,0,"FEMALE",0.465894465894466,0.1,29.423,52,0,14,0
"ID_197",2003-11-01,0,"MALE",0.882703777335984,0.00386100386100386,31.074,87,0,22,0
"ID_203",1988-12-20,0,"MALE",0.209424083769634,0.0216216216216216,16,16,1,5,0.0625
"ID_21",2000-10-01,0,NA,0.426356589147287,0.0261538461538462,2.589,5,0,16,0
"ID_215",1995-11-01,0,"MALE",NA,NA,6.802,8,0,6,0
"ID_220",1990-04-16,0,"MALE",0.405571635311143,0.0762981278700106,11.185,26,0,26,0
"ID_225",1991-09-29,0,"FEMALE",0.442477876106195,0.0384894698620189,14.106,39,0,26,0
"ID_233",2007-11-13,0,"FEMALE",0.759639048400328,0.0901690670006262,15.99,30,0,21,0
"ID_241",2012-11-01,0,NA,NA,NA,3.148,4,0,7,0
"ID_242",1989-11-01,0,"FEMALE",0.73,0.056121045392022,14.931,46,0,45,0
"ID_245",1997-11-01,0,"MALE",NA,NA,3.652,4,0,6,0
"ID_25",1998-10-19,0,"FEMALE",0.764591439688716,0.135214007782101,24.297,86,0,42,0
"ID_257",2010-01-23,0,"FEMALE",0.957528957528958,0.0501930501930502,16.058,22,0,8,0
"ID_265",1996-12-31,0,"MALE",NA,NA,10.268,15,0,9,0
"ID_280",1997-12-01,0,NA,NA,NA,14.314,19,0,7,0
"ID_285",2002-11-30,0,"MALE",0.535714285714286,0.047244094488189,25.011,84,0,51,0
"ID_289",2011-11-24,1,"MALE",0.933333333333333,0.0826771653543307,22.285,33,1,9,0.0303030303030303
"ID_308",2000-11-01,0,"FEMALE",0.617543859649123,0.00361881785283474,12.73,21,0,11,0
"ID_311",1995-11-01,0,"FEMALE",NA,NA,16,16,0,5,0
"ID_329",1998-11-01,0,NA,NA,NA,29.578,73,0,21,0
"ID_333",2014-10-10,0,"MALE",NA,NA,4.781,10,0,12,0
"ID_338",2009-11-08,0,"FEMALE",0.697749196141479,0.0186915887850467,20.345,38,1,13,0.0263157894736842
"ID_348",2014-10-01,0,"FEMALE",NA,NA,56,56,0,5,0
"ID_351",1994-11-01,0,"FEMALE",0.765494137353434,0.05,18.923,30,0,17,0
"ID_37",1992-12-06,0,"FEMALE",0.413122721749696,0.0510874025441116,16.055,40,0,35,0
"ID_370",1991-09-03,0,"FEMALE",0.543526785714286,0.0393974507531866,13.078,26,0,17,0
"ID_372",1993-12-01,0,"MALE",0.350622406639004,0.225949679329058,9.414,14,0,9,0
"ID_377",2007-01-15,0,"FEMALE",0.525714285714286,0.143020594965675,10.037,13,1,11,0.0769230769230769
"ID_379",1997-10-15,0,"FEMALE",NA,NA,12.837,27,0,13,0
"ID_384",2003-11-01,0,NA,NA,NA,22.461,47,0,12,0
"ID_395",2005-12-10,0,"FEMALE",0.763392857142857,0.187556357078449,15.474,31,0,16,0
"ID_398",1990-11-27,0,"FEMALE",NA,NA,28.497,37,0,7,0
"ID_404",2003-01-01,0,"MALE",0.664373464373464,0.141107300342969,15.774,46,0,78,0
"ID_410",1989-11-01,0,"FEMALE",0.280943025540275,0.0258007117437722,11.267,17,0,8,0
"ID_419",1997-11-01,0,"MALE",NA,NA,21.812,46,0,17,0
"ID_434",1993-12-01,0,"FEMALE",0.892768079800499,0.0157068062827225,18.813,41,0,12,0
"ID_457",1998-12-15,0,"MALE",0.940663176265271,0.184615384615385,27.252,80,0,28,0
"ID_461",1996-12-12,0,"FEMALE",NA,NA,6.81,8,0,6,0
"ID_464",2015-10-03,0,NA,0.683804627249357,0,31.324,35,0,6,0
"ID_468",1999-03-05,0,"FEMALE",0.910557184750733,0.155096011816839,29.125,56,0,19,0
"ID_475",1992-11-15,0,NA,NA,NA,4.713,7,0,9,0
"ID_481",2015-05-10,0,NA,NA,NA,21.939,32,0,8,0
"ID_487",1995-11-01,0,NA,NA,NA,10.891,13,0,6,0
"ID_5",1996-12-09,0,NA,NA,NA,10.856,12,0,6,0
